iid,airline,origin,aircraft,impact,flight_date,damage,num_birds,bird_size,sky_conditions,altitude_ft,heavy_flag
220555,US AIRWAYS*,New York,A-320,None,3/27/03 0:00,No damage,1,Large,No Cloud,10,No
218157,SOUTHWEST AIRLINES,California,B-737-300,None,3/27/03 0:00,No damage,1,Medium,No Cloud,3,Yes
222333,AMERICAN AIRLINES,Texas,MD-82,None,3/27/03 0:00,No damage,1,Small,No Cloud,700,No
217450,DELTA AIR LINES,Utah,B-737-300,None,3/27/03 0:00,Caused damage,1,Large,No Cloud,500,Yes
217700,FLIGHT EXPRESS,Florida,C-210 CENTUR,None,3/28/03 0:00,No damage,1,Small,Some Cloud,800,No
217691,AMERICAN AIRLINES,Washington,B-757-200,None,3/28/03 0:00,No damage,1,Large,Some Cloud,"6,000",Yes
219017,PRIVATELY OWNED,Oklahoma,RKWL CMDR114,Precautionary Landing,3/29/03 0:00,Caused damage,1,Large,No Cloud,800,No
218261,SOUTHWEST AIRLINES,Oregon,B-737-300,None,3/30/03 0:00,No damage,1,Small,Some Cloud,"8,000",Yes
216709,DELTA AIR LINES,Florida,B-767-300,None,3/31/03 0:00,No damage,1,Large,Some Cloud,"1,500",Yes
218860,AMERICAN EAGLE AIRLINES,New York,EMB-135,Precautionary Landing,3/31/03 0:00,Caused damage,1,Large,No Cloud,400,No
218876,DELTA AIR LINES,N/A,B-737-800,None,3/31/03 0:00,No damage,1,Large,Some Cloud,"3,000",Yes
218723,AMERIFLIGHT,New Jersey,LEARJET-35,None,4/1/03 0:00,No damage,1,Large,Some Cloud,200,No
219752,JETBLUE AIRWAYS,New York,A-320,None,4/1/03 0:00,No damage,1,Large,No Cloud,0,No
220128,AMERICAN AIRLINES,Texas,B-757-200,None,4/2/03 0:00,No damage,1,Small,No Cloud,150,Yes
213791,SOUTHWEST AIRLINES,Nevada,B-737-300,None,4/2/03 0:00,No damage,1,Small,Overcast,10,Yes
215687,ASTAR AIR CARGO,Missouri,B-727-200,None,4/2/03 0:00,No damage,1,Medium,No Cloud,900,No
218989,ATLAS AIR,N/A,B-747-400,None,4/3/03 0:00,No damage,1,Medium,No Cloud,"3,700",No
217341,GREAT LAKES AIRLINES,Arizona,BE-1900,None,4/3/03 0:00,No damage,1,Large,No Cloud,0,No
219942,BUSINESS,Florida,MU-300,None,4/4/03 0:00,Caused damage,1,Medium,No Cloud,75,No
220918,BUSINESS,Hawaii,DA-900,None,4/4/03 0:00,No damage,1,Small,Some Cloud,"1,200",No
218051,AMERICAN AIRLINES,N/A,B-767-300,None,4/5/03 0:00,No damage,1,Small,No Cloud,200,Yes
219852,AMERICAN EAGLE AIRLINES,Nebraska,EMB-145,None,4/5/03 0:00,No damage,1,Small,No Cloud,0,No
219223,ISLAND AIR,Hawaii,DHC8 DASH 8,None,4/5/03 0:00,No damage,1,Small,Some Cloud,10,No
220075,HAWAIIAN AIR,Hawaii,B-717-200,None,4/5/03 0:00,No damage,1,Medium,No Cloud,0,No
218593,SOUTHWEST AIRLINES,Florida,B-737,None,4/6/03 0:00,No damage,1,Small,Some Cloud,"1,500",Yes
218594,SOUTHWEST AIRLINES,California,B-737-700,None,4/6/03 0:00,No damage,1,Small,Some Cloud,"1,000",Yes
216558,SOUTHWEST AIRLINES,Oregon,B-737-300,None,4/8/03 0:00,No damage,1,Medium,Overcast,0,Yes
221353,DELTA AIR LINES,Missouri,MD-80,None,4/9/03 0:00,No damage,1,Small,No Cloud,0,No
217716,SOUTHWEST AIRLINES,Utah,B-737-300,None,4/10/03 0:00,No damage,1,Small,No Cloud,"1,000",Yes
221638,ASTAR AIR CARGO,Texas,B-727-200,None,4/10/03 0:00,Caused damage,1,Small,Some Cloud,300,No
222248,SOUTHWEST AIRLINES,Louisiana,B-737-700,None,4/11/03 0:00,No damage,1,Small,No Cloud,800,Yes
220074,SOUTHWEST AIRLINES,California,B-737-700,None,4/11/03 0:00,Caused damage,1,Medium,No Cloud,"3,500",Yes
221764,MESABA AIRLINES,South Dakota,SAAB-340,None,4/11/03 0:00,No damage,1,Medium,No Cloud,0,No
223174,BUSINESS,Michigan,CL-601/604,None,4/12/03 0:00,Caused damage,1,Medium,No Cloud,700,No
219691,ABX AIR,North Dakota,DC-9,None,4/12/03 0:00,No damage,1,Medium,Some Cloud,0,No
217670,BUSINESS,Maryland,BE-36,None,4/13/03 0:00,Caused damage,1,Large,No Cloud,"1,500",No
221061,NORTHWEST AIRLINES,Missouri,A-319,None,4/13/03 0:00,No damage,1,Medium,No Cloud,"3,000",No
227058,BOMBARDIER BUSINESS JET,New Jersey,LEARJET-31,None,4/13/03 0:00,No damage,1,Medium,No Cloud,0,No
224327,AMERICAN AIRLINES,Illinois,MD-82,None,4/13/03 0:00,No damage,1,Small,No Cloud,10,No
222634,BUSINESS,New Jersey,GULFAERO III,Aborted Take-off,4/13/03 0:00,Caused damage,1,Large,No Cloud,0,No
220755,BUSINESS,New York,C-414,None,4/14/03 0:00,No damage,1,Large,No Cloud,0,No
